293.11,129.2
293.06,124.4
293.01,118.0
292.96,120.4
292.91,116.0
292.86,110.0
292.81,106.8
292.76,118.0
292.71,116.4
292.66,106.4
292.61,109.6
292.56,112.8
292.51,105.2
292.46,107.2
292.41,106.0
292.36,98.0
292.31,105.6
292.26,102.8
292.21,99.6
292.16,103.2
292.11,99.2
292.06,100.0
292.01,99.6
291.96,101.2
291.91,96.0
291.86,92.8
291.81,96.4
291.76,89.2
291.71,92.4
291.66,88.4
291.61,82.4
291.56,89.2
291.51,89.6
291.46,91.6
291.41,86.4
291.36,88.4
291.31,89.2
291.26,84.8
291.21,88.8
291.16,88.8
291.11,92.4
291.06,91.2
291.01,87.2
290.96,85.2
290.91,80.0
290.86,89.2
290.81,94.0
290.76,86.8
290.71,94.8
290.66,100.0
290.61,103.6
290.56,102.4
290.51,85.6
290.46,92.0
290.41,102.4
290.36,114.8
290.31,128.4
290.26,120.8
290.21,125.6
290.16,126.0
290.11,150.8
290.06,153.6
290.01,171.6
289.96,191.6
289.91,214.8
289.86,246.0
289.81,278.8
289.76,329.2
289.71,400.8
289.66,461.6
289.61,500.4
289.56,586.0
289.51,684.4
289.46,794.0
289.41,899.2
289.36,1008.0
289.31,1098.0
289.26,1238.4
289.21,1364.0
289.16,1472.4
289.11,1530.8
289.06,1585.2
289.01,1582.0
288.96,1604.4
288.91,1628.8
288.86,1550.0
288.81,1516.4
288.76,1458.8
288.71,1344.4
288.66,1227.6
288.61,1132.8
288.56,996.8
288.51,879.6
288.46,766.4
288.41,653.2
288.36,550.8
288.31,487.6
288.26,432.4
288.21,370.4
288.16,348.0
288.11,330.8
288.06,321.2
288.01,312.0
287.96,318.0
287.91,300.4
287.86,352.8
287.81,383.2
287.76,424.4
287.71,472.8
287.66,522.4
287.61,553.6
287.56,619.6
287.51,692.4
287.46,748.8
287.41,814.4
287.36,917.6
287.31,988.4
287.26,1055.6
287.21,1136.4
287.16,1233.2
287.11,1318.8
287.06,1331.2
287.01,1396.8
286.96,1475.6
286.91,1467.2
286.86,1574.0
286.81,1591.2
286.76,1584.4
286.71,1555.6
286.66,1567.2
286.61,1563.2
286.56,1534.4
286.51,1547.2
286.46,1578.8
286.41,1542.0
286.36,1537.6
286.31,1600.8
286.26,1639.2
286.21,1804.8
286.16,1892.0
286.11,2006.4
286.06,2133.6
286.01,2293.2
285.96,2495.2
285.91,2661.6
285.86,2928.8
285.81,3075.2
285.76,3284.4
285.71,3498.0
285.66,3703.2
285.61,3888.8
285.56,4078.4
285.51,4177.2
285.46,4232.8
285.41,4383.2
285.36,4495.6
285.31,4530.0
285.26,4529.2
285.21,4553.6
285.16,4586.8
285.11,4535.6
285.06,4425.6
285.01,4356.8
284.96,4191.6
284.91,3975.6
284.86,3866.4
284.81,3620.0
284.76,3370.0
284.71,3083.2
284.66,2778.8
284.61,2503.2
284.56,2220.4
284.51,1948.0
284.46,1716.0
284.41,1458.0
284.36,1252.4
284.31,1037.6
284.26,876.4
284.21,748.4
284.16,605.6
284.11,498.8
284.06,424.0
284.01,351.2
283.96,296.4
283.91,268.0
283.86,219.2
283.81,197.2
283.76,177.6
283.71,152.4
283.66,142.4
283.61,134.8
283.56,118.8
283.51,106.0
283.46,100.0
283.41,93.6
283.36,97.6
283.31,90.8
283.26,88.8
283.21,84.8
283.16,83.2
283.11,81.6
283.06,81.6
283.01,84.0
282.96,80.8
282.91,74.8
282.86,70.4
282.81,79.2
282.76,72.0
282.71,75.2
282.66,71.6
282.61,70.4
282.56,62.8
282.51,64.4
282.46,68.0
282.41,73.6
282.36,65.2
282.31,62.4
282.26,64.4
282.21,62.0
282.16,66.4
282.11,62.0
282.06,59.6
282.01,59.2
281.96,60.4
281.91,60.0
281.86,58.4
281.81,64.8
281.76,64.0
281.71,60.4
281.66,62.8
281.61,62.0
281.56,62.4
281.51,50.8
281.46,47.2
281.41,51.6
281.36,55.2
281.31,54.0
281.26,54.0
281.21,56.8
